0 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 10 
0 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 25 25 10 
0 12.5 12.5 12.5 12.5 10 
0 12.5 12.5 12.5 12.5 10 
0 12.5 12.5 12.5 12.5 12.5 10 
0 12.5 12.5 12.5 12.5 12.5 10 
0 25 25 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 25 10 
0 12.5 12.5 12.5 12.5 10 
0 12.5 12.5 12.5 12.5 12.5 10 
0 12.5 12.5 12.5 12.5 10 
0 12.5 12.5 12.5 12.5 12.5 10 
0 6.25 6.25 6.25 6.25 10 
0 6.25 6.25 6.25 6.25 6.25 10 
0 6.25 6.25 6.25 6.25 6.25 10 
0 3.125 3.125 3.125 3.125 10 
0 3.125 3.125 3.125 3.125 10 
0 3.125 3.125 3.125 3.125 10 
0 3.125 3.125 3.125 3.125 10 
0 6.25 6.25 6.25 6.25 6.25 10 
0 6.25 6.25 6.25 6.25 10 
0 3.125 3.125 3.125 3.125 10 
0 3.125 3.125 3.125 3.125 10 
0 3.125 3.125 3.125 3.125 10 
0 3.125 3.125 3.125 3.125 10 
0 6.25 6.25 6.25 6.25 6.25 10 
0 6.25 6.25 6.25 6.25 6.25 10 
0 3.125 3.125 3.125 3.125 10 
0 3.125 3.125 3.125 3.125 10 
0 3.125 3.125 3.125 3.125 10 
0 3.125 3.125 3.125 3.125 10 
0 6.25 6.25 6.25 6.25 10 
0 6.25 6.25 6.25 6.25 6.25 10 
0 3.125 3.125 3.125 3.125 10 
0 3.125 3.125 3.125 3.125 10 
0 3.125 3.125 3.125 3.125 10 
0 3.125 3.125 3.125 3.125 10 
0 6.25 6.25 6.25 6.25 6.25 10 
0 6.25 6.25 6.25 6.25 6.25 10 
0 6.25 6.25 6.25 6.25 10 
0 12.5 12.5 12.5 12.5 12.5 10 
0 12.5 12.5 12.5 12.5 10 
0 12.5 12.5 12.5 12.5 12.5 10 
0 12.5 12.5 12.5 12.5 10 
0 25 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 25 25 10 
0 12.5 12.5 12.5 12.5 12.5 10 
0 12.5 12.5 12.5 12.5 12.5 10 
0 12.5 12.5 12.5 12.5 10 
0 12.5 12.5 12.5 12.5 10 
0 25 25 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 10 
0 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
0 25 25 25 25 10 
