0 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 500 500 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 500 500 500 500 2500 
0 500 500 500 500 625 
0 500 500 500 500 625 
0 500 500 500 250 250 625 
0 500 500 500 250 250 625 
0 1000 500 500 1000 500 500 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 500 500 1000 2500 
0 500 500 500 500 625 
0 500 500 500 250 250 625 
0 500 500 500 500 625 
0 500 500 250 250 500 625 
0 250 250 250 250 156.25 
0 250 250 125 125 250 156.25 
0 250 250 125 125 250 156.25 
0 125 125 125 125 39.0625 
0 125 125 125 125 39.0625 
0 125 125 125 125 39.0625 
0 125 125 125 125 39.0625 
0 250 250 250 125 125 156.25 
0 250 250 250 250 156.25 
0 125 125 125 125 39.0625 
0 125 125 125 125 39.0625 
0 125 125 125 125 39.0625 
0 125 125 125 125 39.0625 
0 250 125 125 250 250 156.25 
0 250 250 125 125 250 156.25 
0 125 125 125 125 39.0625 
0 125 125 125 125 39.0625 
0 125 125 125 125 39.0625 
0 125 125 125 125 39.0625 
0 250 250 250 250 156.25 
0 125 125 250 250 250 156.25 
0 125 125 125 125 39.0625 
0 125 125 125 125 39.0625 
0 125 125 125 125 39.0625 
0 125 125 125 125 39.0625 
0 250 125 125 250 250 156.25 
0 250 125 125 250 250 156.25 
0 250 250 250 250 156.25 
0 500 250 250 500 500 625 
0 500 500 500 500 625 
0 250 250 500 500 500 625 
0 500 500 500 500 625 
0 1000 500 500 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 500 500 1000 500 500 1000 2500 
0 250 250 500 500 500 625 
0 250 250 500 500 500 625 
0 500 500 500 500 625 
0 500 500 500 500 625 
0 500 500 500 500 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 500 500 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
0 1000 1000 1000 1000 2500 
